,supermercado,precio
780,Carrefour,1.32
781,Carrefour,1.44
782,Carrefour,1.50
783,Carrefour,1.53
784,Carrefour,0.96
785,Carrefour,0.98
786,Carrefour,1.52
787,Carrefour,1.77
788,Carrefour,1.81
789,Carrefour,1.72
790,Carrefour,1.75
791,Carrefour,1.77
792,Carrefour,1.05
793,Carrefour,1.11
794,Carrefour,1.13
795,Carrefour,1.14
796,Carrefour,1.18
797,Carrefour,1.19
798,Carrefour,1.20
799,Carrefour,2.49
800,Carrefour,2.55
801,Carrefour,2.60
802,Carrefour,1.25
803,Carrefour,1.28
804,Carrefour,0.99
805,Carrefour,1.05
806,Carrefour,1.86
807,Carrefour,1.90
808,Carrefour,1.58
809,Carrefour,1.60
810,Carrefour,1.63
811,Carrefour,1.99
812,Carrefour,2.03
813,Carrefour,0.99
814,Carrefour,1.01
815,Carrefour,1.70
816,Carrefour,1.78
817,Carrefour,1.84
818,Carrefour,1.89
819,Carrefour,1.93
820,Carrefour,1.83
821,Carrefour,1.87
822,Carrefour,1.19
823,Carrefour,1.22
824,Carrefour,1.33
825,Carrefour,1.36
826,Carrefour,1.37
827,Carrefour,1.12
828,Carrefour,1.13
829,Carrefour,1.14
830,Carrefour,1.16
831,Carrefour,1.50
832,Carrefour,1.65
833,Carrefour,1.84
834,Carrefour,1.88
835,Carrefour,1.00
836,Carrefour,1.14
837,Carrefour,1.16
838,Carrefour,1.32
839,Carrefour,1.34
840,Carrefour,1.37
841,Carrefour,1.40
842,Carrefour,1.19
843,Carrefour,1.50
844,Carrefour,1.53
845,Carrefour,3.25
846,Carrefour,3.32
847,Carrefour,0.95
848,Carrefour,1.14
849,Carrefour,1.20
850,Carrefour,1.00
851,Carrefour,1.25
852,Carrefour,1.39
853,Carrefour,1.41
854,Carrefour,1.44
855,Carrefour,1.09
856,Carrefour,1.15
857,Carrefour,1.36
858,Carrefour,1.39
859,Carrefour,1.41
860,Carrefour,0.93
861,Carrefour,1.10
862,Carrefour,1.22
863,Carrefour,1.24
864,Carrefour,1.25
865,Carrefour,1.29
866,Carrefour,1.58
867,Carrefour,1.60
868,Carrefour,1.25
869,Carrefour,1.29
870,Carrefour,1.73
871,Carrefour,1.76
872,Carrefour,15.89
873,Carrefour,13.89
874,Carrefour,15.89
875,Dia,1.00
876,Dia,1.38
877,Dia,1.72
878,Dia,1.99
879,Dia,1.59
880,Dia,1.89
881,Dia,9.54
882,Dia,11.34
883,Dia,0.93
884,Dia,0.95
885,Dia,1.50
886,Dia,1.73
887,Dia,1.76
888,Dia,9.00
889,Dia,10.38
890,Dia,10.56
891,Dia,1.76
892,Dia,10.56
893,Dia,1.25
894,Dia,1.49
895,Dia,1.52
896,Dia,1.59
897,Dia,7.50
898,Dia,8.94
899,Dia,9.12
900,Dia,9.54
901,Dia,1.59
902,Dia,1.62
903,Dia,1.69
904,Dia,1.72
905,Dia,2.18
906,Dia,2.22
907,Dia,2.28
908,Dia,9.54
909,Dia,9.72
910,Dia,10.14
911,Dia,10.32
912,Dia,1.00
913,Dia,1.05
914,Dia,1.07
915,Dia,6.00
916,Dia,6.30
917,Dia,6.42
918,Dia,13.08
919,Dia,13.32
920,Dia,13.68
921,Dia,0.77
922,Dia,0.79
923,Dia,0.80
924,Dia,4.62
925,Dia,4.74
926,Dia,4.80
927,Dia,0.99
928,Dia,1.01
929,Dia,1.04
930,Dia,1.10
931,Dia,1.59
