,supermercado,precio
872,Carrefour,14.18
873,Carrefour,14.24
874,Carrefour,14.73
875,Carrefour,14.95
876,Carrefour,15.23
877,Carrefour,15.99
878,Carrefour,41.50
879,Carrefour,44.95
880,Carrefour,56.70
881,Carrefour,58.40
882,Carrefour,59.57
883,Carrefour,60.48
884,Carrefour,63.50
885,Carrefour,10.89
886,Carrefour,10.94
887,Carrefour,11.29
888,Carrefour,11.69
889,Carrefour,11.92
890,Carrefour,12.09
891,Carrefour,12.59
892,Carrefour,12.81
893,Carrefour,12.84
894,Carrefour,7.59
895,Carrefour,7.79
896,Carrefour,7.95
897,Carrefour,8.33
898,Carrefour,8.75
899,Carrefour,12.62
900,Carrefour,12.65
901,Carrefour,12.85
902,Carrefour,13.09
903,Carrefour,13.35
904,Carrefour,14.19
905,Carrefour,14.59
906,Carrefour,14.88
907,Carrefour,15.23
908,Carrefour,9.48
909,Carrefour,9.49
910,Carrefour,9.95
911,Carrefour,10.15
912,Carrefour,17.15
913,Carrefour,17.23
914,Carrefour,18.55
915,Carrefour,18.92
916,Carrefour,12.49
917,Carrefour,13.15
918,Carrefour,13.41
919,Carrefour,13.71
920,Carrefour,10.29
921,Carrefour,10.33
922,Carrefour,10.50
923,Carrefour,48.86
924,Carrefour,48.90
925,Carrefour,49.88
926,Carrefour,4.09
927,Carrefour,4.17
928,Carrefour,6.84
929,Carrefour,6.85
930,Carrefour,7.55
931,Carrefour,7.70
932,Carrefour,13.35
933,Carrefour,13.59
934,Carrefour,14.28
935,Carrefour,14.55
936,Carrefour,14.57
937,Carrefour,6.84
938,Carrefour,6.85
939,Carrefour,7.18
940,Carrefour,7.55
941,Carrefour,7.70
942,Carrefour,11.19
943,Carrefour,11.41
944,Carrefour,9.51
945,Carrefour,9.55
946,Carrefour,9.74
947,Carrefour,3.79
948,Carrefour,4.19
949,Carrefour,4.24
950,Carrefour,4.25
951,Carrefour,4.34
952,Carrefour,4.45
953,Carrefour,11.29
954,Carrefour,11.99
955,Carrefour,12.23
956,Carrefour,12.81
957,Carrefour,13.29
958,Carrefour,35.95
959,Carrefour,38.95
